模拟参数: nx=64, dt=0.1, nmc=128
总模拟时间: 5.0s
总耗时: 88.23s, 平均每步: 1764.6ms

时间(s)  总环量    最大涡量
0.00    0.499556  0.993921
0.10    0.498602  0.993920
0.20    0.498032  0.992384
0.30    0.497084  0.989254
0.40    0.494996  0.984533
0.50    0.494681  0.980282
0.60    0.494325  0.978500
0.70    0.494284  0.977266
0.80    0.493616  0.971546
0.90    0.492695  0.970823
1.00    0.491266  0.967418
1.10    0.489599  0.950896
1.20    0.488628  0.937318
1.30    0.487138  0.934781
1.40    0.485726  0.929843
1.50    0.485287  0.926954
1.60    0.483936  0.920629
1.70    0.483253  0.913699
1.80    0.482890  0.910506
1.90    0.480886  0.907952
2.00    0.480420  0.903355
2.10    0.480808  0.891537
2.20    0.480138  0.887861
2.30    0.479476  0.883626
2.40    0.479226  0.879814
2.50    0.478695  0.876788
2.60    0.478061  0.876348
2.70    0.477399  0.872804
2.80    0.477060  0.864185
2.90    0.475832  0.861842
3.00    0.475110  0.856966
3.10    0.474638  0.855880
3.20    0.474398  0.851205
3.30    0.473599  0.844600
3.40    0.472545  0.841988
3.50    0.471617  0.838319
3.60    0.470910  0.835387
3.70    0.469821  0.829301
3.80    0.469335  0.824230
3.90    0.469020  0.820672
4.00    0.468201  0.818555
4.10    0.468103  0.817399
4.20    0.467374  0.816647
4.30    0.466570  0.813014
4.40    0.466374  0.804052
4.50    0.466181  0.801958
4.60    0.465202  0.799546
4.70    0.464684  0.790734
4.80    0.464381  0.789172
4.90    0.464118  0.786908
5.00    0.463678  0.781102
