模拟参数: nx=32, dt=0.1, nmc=64
总模拟时间: 2.0s
总耗时: 5.13s, 平均每步: 256.4ms

时间(s)  总环量    最大涡量
0.00    0.499622  0.975889
0.10    0.499071  0.975889
0.20    0.497268  0.961937
0.30    0.494868  0.956034
0.40    0.493478  0.933212
0.50    0.492493  0.924380
0.60    0.491977  0.912659
0.70    0.490564  0.904606
0.80    0.490141  0.897178
0.90    0.488405  0.894160
1.00    0.487705  0.887208
1.10    0.486865  0.884108
1.20    0.485247  0.873333
1.30    0.484625  0.866796
1.40    0.484854  0.865263
1.50    0.481744  0.864019
1.60    0.481600  0.859668
1.70    0.481063  0.856394
1.80    0.479270  0.850266
1.90    0.478353  0.841672
2.00    0.477137  0.832104
