Taylor-Green 涡旋误差分析 (2D 无粘 Euler)
网格: 128x128, dt=0.02, nmc=512, total_time=2.0s
比较区域: 中心 80% (去除边界截断影响)

时间(s)	L2相对误差	L∞误差
0.00	0.000000	0.000000
0.02	0.007503	0.383342
0.04	0.008848	0.269831
0.06	0.010126	0.197154
0.08	0.011437	0.218763
0.10	0.012456	0.182518
0.12	0.013886	0.150014
0.14	0.015236	0.122980
0.16	0.016828	0.142203
0.18	0.018568	0.141986
0.20	0.019807	0.105006
0.22	0.021270	0.145883
0.24	0.023167	0.236061
0.26	0.024735	0.185168
0.28	0.026283	0.231228
0.30	0.027967	0.248723
0.32	0.029336	0.243389
0.34	0.030800	0.201042
0.36	0.032414	0.161902
0.38	0.033866	0.133473
0.40	0.035746	0.394502
0.42	0.037288	0.336026
0.44	0.038795	0.211043
0.46	0.040253	0.141246
0.48	0.042875	0.811166
0.50	0.044189	0.659077
0.52	0.045315	0.445840
0.54	0.046769	0.354810
0.56	0.048273	0.268729
0.58	0.049850	0.258215
0.60	0.051294	0.239415
0.62	0.052914	0.243721
0.64	0.054781	0.619666
0.66	0.056016	0.450038
0.68	0.057302	0.310295
0.70	0.059041	0.520422
0.72	0.062892	1.517116
0.74	0.062971	0.959847
0.76	0.064054	0.658841
0.78	0.065321	0.554104
0.80	0.066671	0.486422
0.82	0.068143	0.419338
0.84	0.069878	0.522684
0.86	0.071095	0.294006
0.88	0.072499	0.266638
0.90	0.073953	0.234889
0.92	0.075459	0.293434
0.94	0.076857	0.216963
0.96	0.078352	0.220744
0.98	0.079853	0.376960
1.00	0.081217	0.262787
1.02	0.082649	0.215979
1.04	0.084144	0.224749
1.06	0.085650	0.229553
1.08	0.087103	0.229905
1.10	0.088616	0.236556
1.12	0.090168	0.379084
1.14	0.091669	0.372926
1.16	0.093064	0.259067
1.18	0.094609	0.440215
1.20	0.095965	0.296243
1.22	0.097415	0.276693
1.24	0.099179	0.748373
1.26	0.100692	0.667697
1.28	0.101952	0.529969
1.30	0.103297	0.461549
1.32	0.104834	0.410992
1.34	0.106247	0.377312
1.36	0.107739	0.339850
1.38	0.109171	0.350721
1.40	0.110628	0.362573
1.42	0.112179	0.366930
1.44	0.113624	0.366574
1.46	0.115072	0.373303
1.48	0.116632	0.388366
1.50	0.118172	0.389678
1.52	0.119732	0.483132
1.54	0.121196	0.392806
1.56	0.122709	0.397445
1.58	0.124215	0.411926
1.60	0.125766	0.416302
1.62	0.127428	0.418607
1.64	0.128839	0.422187
1.66	0.130284	0.434712
1.68	0.131761	0.434353
1.70	0.133267	0.444110
1.72	0.134858	0.449789
1.74	0.136361	0.451635
1.76	0.137849	0.456048
1.78	0.139412	0.470093
1.80	0.140902	0.479702
1.82	0.142493	0.480872
1.84	0.144039	0.487942
1.86	0.145493	0.501588
1.88	0.147293	0.717681
1.90	0.148959	0.612900
1.92	0.150763	0.644330
1.94	0.152254	0.525065
1.96	0.153921	0.530760
1.98	0.155682	0.529301
2.00	0.157384	0.536897
