Step3: Burgers 涡误差分析
网格 32³, L=1.0, dt=0.02, total_time=2.0s, a=1.0, Γ=1.0, ν=0.05, nmc=128
比较区域: 中心 60% (去除边界)

时间(s)	L2相对误差	L∞误差
0.00	0.000000	0.000000
0.02	0.110665	0.704521
0.04	0.127277	0.914203
0.06	0.142830	0.808204
0.08	0.162928	0.850548
0.10	0.183758	0.950775
0.12	0.204500	0.921526
0.14	0.225266	1.092731
0.16	0.244398	1.140837
0.18	0.264221	1.141668
0.20	0.282605	1.280650
0.22	0.299992	1.247060
0.24	0.317001	1.296579
0.26	0.333537	1.418398
0.28	0.348287	1.470983
0.30	0.361717	1.477577
0.32	0.375013	1.545997
0.34	0.386837	1.553068
0.36	0.399647	1.637583
0.38	0.411291	1.658335
0.40	0.422857	1.668210
0.42	0.434865	1.700591
0.44	0.446971	1.751162
0.46	0.456965	1.763670
0.48	0.467572	1.783414
0.50	0.476949	1.836702
0.52	0.485955	1.873016
0.54	0.494651	1.892615
0.56	0.503040	1.935056
0.58	0.511265	1.966639
0.60	0.519342	1.992198
0.62	0.527406	2.000616
0.64	0.534598	2.030474
0.66	0.541706	2.028556
0.68	0.548799	2.035996
0.70	0.555078	2.084282
0.72	0.561202	2.098074
0.74	0.567465	2.099138
0.76	0.573444	2.118148
0.78	0.579174	2.137763
0.80	0.585198	2.152412
0.82	0.590979	2.170702
0.84	0.596276	2.181829
0.86	0.601636	2.199397
0.88	0.606794	2.216267
0.90	0.611556	2.237696
0.92	0.616372	2.235276
0.94	0.621167	2.253490
0.96	0.626037	2.273940
0.98	0.630232	2.274845
1.00	0.634648	2.291994
1.02	0.638995	2.311179
1.04	0.643148	2.318923
1.06	0.647005	2.333968
1.08	0.651279	2.350565
1.10	0.655090	2.359081
1.12	0.659172	2.355001
1.14	0.663026	2.370447
1.16	0.666557	2.381819
1.18	0.670355	2.390415
1.20	0.673966	2.407366
1.22	0.677199	2.410052
1.24	0.680318	2.419557
1.26	0.683639	2.420771
1.28	0.686750	2.433581
1.30	0.689867	2.444864
1.32	0.692933	2.450081
1.34	0.695514	2.455842
1.36	0.698321	2.464399
1.38	0.701346	2.487032
1.40	0.703934	2.480924
1.42	0.706570	2.480101
1.44	0.708973	2.492453
1.46	0.711750	2.497439
1.48	0.714425	2.503670
1.50	0.716745	2.511400
1.52	0.719052	2.518844
1.54	0.721274	2.520040
1.56	0.723351	2.537218
1.58	0.725818	2.537705
1.60	0.727879	2.543737
1.62	0.730019	2.554380
1.64	0.732317	2.552408
1.66	0.734318	2.557218
1.68	0.736358	2.558267
1.70	0.738283	2.564853
1.72	0.740290	2.573196
1.74	0.742193	2.575439
1.76	0.744089	2.582431
1.78	0.746041	2.592402
1.80	0.747835	2.590259
1.82	0.749648	2.598668
1.84	0.751412	2.600710
1.86	0.753034	2.605861
1.88	0.754699	2.608291
1.90	0.756409	2.613625
1.92	0.758109	2.616386
1.94	0.759733	2.621639
1.96	0.761353	2.623724
1.98	0.762984	2.629004
2.00	0.764510	2.633016
